Cars,Model,Dist per km,Fuel,Transmission,Registration,EMI Per Month,Sale City,Manufacturing_Year,Reg_State,Other charges,Actual Price in Lakhs,Discounted Price in Lakhs,Car Age,Discount Amount,Discount %,Brand
Hyundai Elite i20, SPORTZ PLUS 1.2,44264,Petrol,Manual,MH-47,8050.0,Mumbai,2019,Maharashtra,Included,4.78,4.56,7,0.22,4.6,Hyundai
Volkswagen Polo, HIGHLINE1.2L,54494,Petrol,Manual,MH-02,20232.0,Mumbai,2012,Maharashtra,Included,2.28,2.28,14,0.0,0.0,Volkswagen
Tata NEXON, XM DIESEL,44718,Diesel,Manual,MH-04,10856.0,Mumbai,2021,Maharashtra,Included,6.15,6.15,5,0.0,0.0,Tata
Maruti Wagon R 1.0, VXI,50088,Petrol,Manual,MH-03,6842.0,Mumbai,2014,Maharashtra,Included,2.29,2.06,12,0.23,10.04,Maruti
Ford Ecosport, TITANIUM 1.5L PETROL,43799,Petrol,Manual,MH-05,7591.0,Mumbai,2018,Maharashtra,Included,4.74,4.3,8,0.44,9.28,Ford
Maruti Celerio, VXI AMT,42879,Petrol,Auto,MH-04,8171.0,Mumbai,2014,Maharashtra,Included,2.52,2.46,12,0.06,2.38,Maruti
Skoda Rapid, STYLE TSI,48038,Petrol,Manual,MH-47,11174.0,Mumbai,2021,Maharashtra,Included,6.64,6.33,5,0.31,4.67,Skoda
Maruti Celerio, VXI (O) CNG,69614,CNG,Manual,MH-04,6872.0,Mumbai,2019,Maharashtra,Included,3.85,3.52,7,0.33,8.57,Maruti
KIA SELTOS, HTK PLUS 1.5 IMT,94252,Petrol,Manual,MH-03,13910.0,Mumbai,2022,Maharashtra,Included,9.25,7.88,4,1.37,14.81,KIA
Maruti Alto 800, LXI CNG,61232,CNG,Manual,MH-04,7857.0,Mumbai,2015,Maharashtra,Included,1.93,1.67,11,0.26,13.47,Maruti
Hyundai Creta, SX AT 1.6 PETROL,52376,Petrol,Auto,MH-03,12939.0,Mumbai,2018,Maharashtra,Included,7.33,7.33,8,0.0,0.0,Hyundai
Mahindra Thar, LX D AT 4WD HT,51843,Diesel,Auto,MH-15,17037.0,Mumbai,2021,Maharashtra,Included,11.32,9.95,5,1.37,12.1,Mahindra
Datsun Redi Go, S 1.0 AMT,40396,Petrol,Auto,MH-04,3302.0,Mumbai,2018,Maharashtra,Included,2.22,1.87,8,0.35,15.77,Datsun
